"","  Unique.Key","                Created.Date","                Closed.Date","Agency","                          Agency.Name","           Complaint.Type","              Descriptor","      Location.Type"," Incident.Zip","           Incident.Address","         Street.Name","        Cross.Street.1","          Cross.Street.2","     Intersection.Street.1","     Intersection.Street.2","      Address.Type","           City","Landmark","Facility.Type","             Status","                  Due.Date","       Resolution.Action.Updated.Date","    Community.Board","         Borough","X.Coordinate..State.Plane.","Y.Coordinate..State.Plane.","  Park.Facility.Name","       Park.Borough","     School.Name","    School.Number","    School.Region","     School.Code"," School.Phone.Number","    School.Address","     School.City","     School.State","      School.Zip","School.Not.Found","School.or.Citywide.Complaint","Vehicle.Type","Taxi.Company.Borough","Taxi.Pick.Up.Location","Bridge.Highway.Name","Bridge.Highway.Direction","Road.Ramp","Bridge.Highway.Segment","Garage.Lot.Name","Ferry.Direction","Ferry.Terminal.Name","   Latitude","  Longitude","                                   Location"
"","Min.   :16696420  ","06/25/2011 11:43:29 AM:   2  ","                      : 419  ","EDC:7218  ","Economic Development Corporation:7216  ","Agency Issues     :   2  ","Business Incentives:   2  ","             :   7  ","Min.   :10000  ","                   :2466  ","               :2466  ","               :2481  ","                 :2497  ","                :4754  ","                :4754  ","            :  25  ","NEW YORK     :3878  ","Mode:logical  ","   :   2  ","Closed          :6811  ","                      : 712  ","                      :1118  ","07 MANHATTAN:1087  ","BRONX        : 160  ","Min.   : 913972  ","Min.   :121669  ","Unspecified:7218  ","BRONX        : 160  ","Unspecified:7218  ","Unspecified:7218  ","Unspecified:7218  ","Unspecified:7218  ","Unspecified:7218  ","Unspecified:7218  ","Unspecified:7218  ","Unspecified:7218  ","Unspecified:7218  ","N:7218  ","Mode:logical  ","Mode:logical  ","Mode:logical  ","Mode:logical  ","Mode:logical  ","Mode:logical  ","Mode:logical  ","Mode:logical  ","Mode:logical  ","Mode:logical  ","Mode:logical  ","Min.   :40.50  ","Min.   :-74.25  ","(40.67732932538408, -74.01292834062261): 135  "
"","1st Qu.:22468922  ","11/13/2014 06:45:16 AM:   2  ","03/27/2012 11:32:12 AM:   3  ",NA,"EDC                             :   2  ","Noise - Helicopter:7216  ","Flying Too Low     : 290  ","Above Address:7211  ","1st Qu.:10024  ","315 WEST 70 STREET : 105  ","RIVERSIDE DRIVE: 135  ","WEST END AVENUE: 256  ","RIVERSIDE DRIVE  : 263  ","WOLCOTT STREET  : 145  ","VAN BRUNT STREET: 167  ","ADDRESS     :4729  ","BROOKLYN     :2307  ","NA's:7218     ","N/A:7216  ","Closed - Testing:   1  ","06/30/2011 11:43:29 AM:   2  ","01/03/2014 10:06:57 AM:   2  ","06 BROOKLYN : 848  ","BROOKLYN     :2310  ","1st Qu.: 985049  ","1st Qu.:190549  ",NA,"BROOKLYN     :2310  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA's:7218     ","NA's:7218     ","NA's:7218     ","NA's:7218     ","NA's:7218     ","NA's:7218     ","NA's:7218     ","NA's:7218     ","NA's:7218     ","NA's:7218     ","NA's:7218     ","1st Qu.:40.69  ","1st Qu.:-74.00  ","(40.778747935881874, -73.9860734644156): 105  "
"","Median :28149074  ","01/01/2011 02:06:41 PM:   1  ","01/03/2014 10:06:56 AM:   2  ",NA,NA,NA,"Hovering           : 276  ",NA,"Median :10065  ","164 DIKEMAN STREET :  84  ","WEST 70 STREET : 109  ","BROADWAY       : 147  ","AMSTERDAM AVENUE : 137  ","BROADWAY        :  65  ","5 AVENUE        : 118  ","INTERSECTION:2464  ","STATEN ISLAND: 180  ",NA,NA,"Email Sent      :   2  ","11/23/2014 06:45:16 AM:   2  ","01/11/2013 10:36:00 AM:   2  ","02 BROOKLYN : 749  ","MANHATTAN    :3886  ","Median : 989986  ","Median :206230  ",NA,"MANHATTAN    :3886  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Median :40.73  ","Median :-73.98  ","(40.67804815457138, -74.01538006013625):  84  "
"","Mean   :27133536  ","01/01/2011 03:44:41 PM:   1  ","01/11/2013 10:36:00 AM:   2  ",NA,NA,NA,"News Gathering     : 471  ",NA,"Mean   :10549  ","625 WEST 156 STREET:  74  ","DIKEMAN STREET : 105  ","BEND           : 146  ","BROADWAY         : 137  ","STAFF STREET    :  65  ","RIVERSIDE DRIVE : 113  ",NA,"BRONX        : 159  ",NA,NA,"Open            : 404  ","01/01/2012 02:10:26 AM:   1  ","01/11/2013 10:42:31 AM:   2  ","12 MANHATTAN: 493  ","QUEENS       : 676  ","Mean   : 992818  ","Mean   :207708  ",NA,"QUEENS       : 676  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mean   :40.74  ","Mean   :-73.97  ","(40.83378164669786, -73.94614858445435):  74  "
"","3rd Qu.:31232786  ","01/01/2011 05:05:34 PM:   1  ","01/11/2013 10:42:31 AM:   2  ",NA,NA,NA,"NYPD               : 642  ",NA,"3rd Qu.:11215  ","155 WEST 80 STREET :  54  ","HICKS STREET   :  93  ","5 AVENUE       : 134  ","BEND             : 123  ","WEST   79 STREET:  44  ","BROADWAY        :  93  ",NA,"ASTORIA      : 131  ",NA,NA,NA,"01/01/2012 02:19:43 AM:   1  ","01/12/2016 01:39:43 PM:   2  ","01 MANHATTAN: 390  ","STATEN ISLAND: 181  ","3rd Qu.: 998522  ","3rd Qu.:224487  ",NA,"STATEN ISLAND: 181  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3rd Qu.:40.78  ","3rd Qu.:-73.95  ","(40.86779358224087, -73.92998844410148):  66  "
"","Max.   :35827295  ","01/01/2011 11:34:30 AM:   1  ","01/11/2013 10:44:46 AM:   2  ",NA,NA,NA,"Other              :5391  ",NA,"Max.   :11697  ","513 WEST 149 STREET:  52  ","WEST END AVENUE:  78  ","COLUMBUS AVENUE: 131  ","PIERREPONT STREET: 119  ","RIVERSIDE DRIVE :  41  ","DYCKMAN STREET  :  73  ",NA,"WHITESTONE   :  77  ",NA,NA,NA,"01/01/2012 02:21:55 AM:   1  ","01/22/2014 10:19:55 AM:   2  ","02 MANHATTAN: 384  ","Unspecified  :   5  ","Max.   :1066743  ","Max.   :269191  ",NA,"Unspecified  :   5  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Max.   :40.91  ","Max.   :-73.70  ","(40.82805628572522, -73.94638808872573):  52  "
"",NA,"(Other)               :7210  ","(Other)               :6788  ",NA,NA,NA,"Passing By         : 146  ",NA,"NA's   :25  ","(Other)            :4383  ","(Other)        :4232  ","(Other)        :3923  ","(Other)          :3942  ","(Other)         :2104  ","(Other)         :1900  ",NA,"(Other)      : 486  ",NA,NA,NA,"(Other)               :6499  ","(Other)               :6090  ","(Other)     :3267  ",NA,"NA's   :25  ","NA's   :25  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA's   :25  ","NA's   :25  ","(Other)                                :6702  "
